online_steps,update_critic_loss,update_q_mean,update_q_std,update_q_abs_p99,update_q_target_mean,update_q_target_std,update_actor_loss,update_normalized_q_gain,update_anchor_loss,update_q_scale,update_q_base,update_q_executed,update_predicted_q_gain,update_correction_rms,update_correction_rms_max_dim,update_z_extreme_rate,update_base_boundary_rate,update_executed_boundary_rate,update_residual_added_boundary_rate,update_numerical_clamp_count,update_residual_log_prob,action_rho_effective,action_correction_rms,action_correction_rms_max_dim_sample,action_z_extreme_rate,action_base_boundary_rate,action_executed_action_boundary_rate,action_residual_added_boundary_rate,action_numerical_clamp_count,episode_goal_entry,episode_goal_exit_after_entry,episode_consecutive_success_window,episode_strict_stable_success,episode_raw_episode_return,episode_episode_length
17000,0.1433467606678605,23.19261459732056,27.2510223903656,67.97540028381347,23.193059448242188,27.27913185310364,0.0001666146624775,0.0002840818991535,0.0033191814427264,7.002523334503174,3.524492423057556,3.526481644630432,0.001989226311678,0.001221646079095,0.0030016033481806,0.0,0.2204723356366157,0.2207983448207378,0.0004262695437646,0.0,19.93779835510254,0.05,0.002310559328238,0.0069300031124148,0.0,0.4431666758954525,0.4439583424329757,0.0010416666977107,0.0,0.4,0.2,0.4,0.2,1768.6047421301985,200.0
18000,0.148853292632848,24.050390420913697,28.271086708068847,70.55108004760743,24.05060631942749,28.29996305847168,0.0001608868378971,0.0002773629680741,0.0032568549276329,7.2530049705505375,3.65108119058609,3.6530926871299743,0.0020114968756679,0.0012101757142227,0.0030036514289677,0.0,0.2202425179779529,0.220600753724575,0.0004407552209158,0.0,19.973517177581787,0.05,0.0022867122423485,0.0068252185068558,0.0,0.4400416767597198,0.4406666766405105,0.0007500000223517,0.0,0.2,0.0,0.2,0.2,1159.3389162186609,200.0
19000,0.1472904423587024,24.959754667282105,29.24470219993591,73.0040823135376,24.960099592208863,29.27458200454712,0.0001535314779321,0.0002722312611003,0.0032003270755521,7.523106033802033,3.784505697250366,3.786553825855255,0.0020481337364763,0.0011995787431951,0.0030255544995889,0.0,0.2204220427274704,0.2208017627596855,0.0004488932419772,0.0,19.991205429077148,0.05,0.002267704732134,0.0068280276453588,0.0,0.4411666764318943,0.4423333428800106,0.0012500000372529,0.0,0.2,0.2,0.2,0.0,254.20745800599175,200.0
20000,0.1430864496603608,25.901536289215088,30.24692518043518,75.35704931640625,25.90188501739502,30.27781214141846,0.0001442518396652,0.0002763982396863,0.0032512545022182,7.759335562229157,3.898645268917084,3.900790009498596,0.0021447465068195,0.0012091414453461,0.0031106645585969,0.0,0.2200916391015052,0.2204692432880401,0.000444173190539,0.0,20.02518312835693,0.05,0.0022951932870782,0.0069563250174978,0.0,0.4402500100433826,0.4408333432376384,0.0006250000186264,0.0,0.0,0.0,0.0,0.0,-35.89906058041416,200.0
21000,0.1344783840253949,26.63232432365417,31.153722322463988,77.60493998718262,26.632604829788207,31.185303850173952,0.0001329545890912,0.000285717979772,0.0033394385948777,7.973717923164368,4.006614089012146,4.0088923296928405,0.0022782422136515,0.0012254220736213,0.0032269233711995,0.0,0.2203214566707611,0.2207161508202552,0.000447428399726,0.0,20.069101333618164,0.05,0.0023366876265499,0.0070893232758389,0.0,0.4401666766703129,0.4410000098645687,0.0009166666939854,0.0,0.0,0.0,0.0,0.0,264.872819996721,200.0
22000,0.1424401947073638,27.33338338661194,31.96142922782898,79.75156401824951,27.3331648979187,31.993679803848263,0.0001249391456949,0.0002902943306253,0.0033920055939815,8.179073901176453,4.107236753463745,4.10961131811142,0.0023745584115386,0.0012350698625668,0.0033199249971657,0.0,0.2202299855947494,0.2206204475760459,0.0004420573050156,0.0,20.090014877319337,0.05,0.0023687016809708,0.0072355813370086,0.0,0.4403333432674408,0.4410416765511036,0.0007916666902601,0.0,0.2,0.0,0.2,0.2,1209.0035270332826,200.0
23000,0.1414605007395148,28.00555829811096,32.78460102272034,81.78874175262452,28.00522643280029,32.81696102333069,0.0001196100915258,0.0002900581941939,0.0034008735949173,8.386882575035095,4.211170196533203,4.213602682113647,0.002432487333659,0.0012366105972323,0.0033737911237403,0.0,0.2201484425365925,0.2205571337640285,0.0004513346485764,0.0,20.096701160430907,0.05,0.0023419666286208,0.0071938286508666,0.0,0.4396666767895221,0.4407916766703129,0.0011250000335276,0.0,0.4,0.0,0.4,0.4,2478.9456396166083,200.0
24000,0.1387383568361401,28.67033578491211,33.51369524383545,83.75266014099121,28.670250003814697,33.54728197860718,0.0001164543064078,0.0002864303960814,0.0033634178079664,8.570521817207336,4.303376384735108,4.305831164360046,0.0024547577034682,0.0012298616901971,0.0033493622005917,0.0,0.2203291062712669,0.2207594451606273,0.0004689127747406,0.0,20.115827167510982,0.05,0.0023877779264585,0.0073158937413245,0.0,0.4394583434164524,0.4407500099539757,0.0013333333730697,0.0,0.2,0.2,0.0,0.0,61.55041534852804,200.0
25000,0.1492336359545588,29.2505597782135,34.25256630516052,85.62164821624756,29.250853370666505,34.28709041213989,0.000104028578673,0.0003022760645835,0.0035284135998226,8.753758566856384,4.393771479606628,4.396417970657349,0.0026464800494723,0.0012594879367388,0.0035131190968677,0.0,0.2202371469140052,0.2206577199101448,0.0004571940230525,0.0,20.12340829467773,0.05,0.0024010640225606,0.0073710039533907,0.0,0.4399166765809059,0.4408333431780338,0.0009166666939854,0.0,0.2,0.0,0.2,0.2,1490.9507751118203,200.0
26000,0.1483647201433778,29.90961805343628,34.941379751205446,87.42804180908203,29.90970021247864,34.97628270530701,8.865135445375927e-05,0.0003251497734454,0.0037718837806023,8.95266979598999,4.492973027229309,4.495884162902832,0.0029111472833901,0.0013023258130997,0.0037201788160018,0.0,0.2201196340322494,0.2205628305375576,0.0004736328267317,0.0,20.16181407546997,0.05,0.0025048891445621,0.0077485141913639,0.0,0.4394166767597198,0.4405000099539757,0.0011250000335276,0.0,0.2,0.2,0.0,0.0,453.71537339324107,200.0
27000,0.1550842368006706,30.46777957725525,35.611804588317874,89.13472930145264,30.467795185089116,35.647808582305906,7.849791322951205e-05,0.0003386464603827,0.0039064094005152,9.096803415298462,4.561591319084167,4.564672348976135,0.0030810304875485,0.0013252193210646,0.003816410778556,0.0,0.2200877325236797,0.2205397179722786,0.000482421889159,0.0,20.17892102432251,0.05,0.0025033641658956,0.0077806056321132,0.0,0.4401666765809059,0.4410416764914989,0.000875000026077,0.0,0.0,0.0,0.0,0.0,243.52785084792123,200.0
28000,0.1343502156250179,31.034329624176024,36.27405303573608,90.78818994140624,31.034595613479613,36.31038670730591,6.922588797169738e-05,0.0003515167735167,0.0040467641693539,9.241756165504457,4.635661092758179,4.638910025596618,0.0032489083777181,0.0013487460934557,0.0039210128616541,0.0,0.2202534231841564,0.2207016652524471,0.0004762369925738,0.0,20.18437628173828,0.05,0.002607466494257,0.008023769916268,0.0,0.4425000094175338,0.443333342552185,0.0009583333618938,0.0,0.2,0.2,0.0,0.0,161.29845674559647,200.0
29000,0.1370692279785871,31.654015525817872,36.9178708076477,92.35478781890868,31.654482620239257,36.95504936599731,5.705176759511232e-05,0.0003713093843543,0.0042540370575152,9.378809947967529,4.700098412513733,4.703581001281738,0.0034825894939713,0.0013830653598997,0.0040216351207345,0.0,0.2200792692005634,0.2205289765298366,0.0004755859511205,0.0,20.22628730392456,0.05,0.0026371078001102,0.0081745543091092,0.0,0.4401666766405105,0.4407916766107082,0.0006666666865348,0.0,0.0,0.0,0.0,0.0,115.34722654356992,200.0
30000,0.1382376301214098,32.071255838394165,37.4752534828186,93.8500295639038,32.071531772613525,37.51289037704468,4.369390197098255e-05,0.0003946928351069,0.0044970654156059,9.484166058540344,4.751735531806946,4.755479237556457,0.0037436924283392,0.0014219850173685,0.00414998270059,0.0,0.2203642628490925,0.2208045298755168,0.0004726562636788,0.0,20.251878829956052,0.05,0.0026862753563909,0.0083041553687071,0.0,0.4450833420753479,0.4461250086128712,0.0010416666977107,0.0,0.0,0.0,0.0,0.0,19.662465683384887,200.0
